fecha;efectivo;tarjeta;bizum;transferencia;otros;total;descuadre;origen;estado;notas
2026-04-01;174.75;626.29;0.00;0.00;0.00;801.04;0.00;Excel;confirmed;
2026-04-02;142.05;493.60;0.00;0.00;0.00;635.65;0.00;Excel;confirmed;
2026-04-03;76.20;449.75;0.00;0.00;0.00;525.95;0.00;Excel;confirmed;
2026-04-04;182.23;399.55;0.00;0.00;0.00;581.78;0.00;Excel;confirmed;
2026-04-05;75.00;529.40;0.00;0.00;0.00;604.40;0.00;Excel;confirmed;
2026-04-07;252.80;542.70;0.00;0.00;0.00;795.50;0.00;Excel;confirmed;
2026-04-08;276.98;585.57;0.00;0.00;0.00;862.55;0.00;Excel;confirmed;
2026-04-09;221.40;503.40;0.00;0.00;0.00;724.80;0.00;Excel;confirmed;
2026-04-10;326.05;441.25;0.00;0.00;0.00;767.30;0.00;Excel;confirmed;
2026-04-11;153.55;258.00;0.00;0.00;0.00;411.55;0.00;Excel;confirmed;
2026-04-13;301.40;355.35;0.00;0.00;0.00;656.75;0.00;Excel;confirmed;
2026-04-14;155.55;296.05;0.00;0.00;0.00;451.60;0.00;Excel;confirmed;
2026-04-15;266.80;531.95;0.00;0.00;0.00;798.75;0.00;Excel;confirmed;
2026-04-16;359.59;449.74;0.00;0.00;0.00;809.33;0.00;Excel;confirmed;
2026-04-17;276.20;786.01;0.00;0.00;0.00;1062.21;0.00;Excel;confirmed;
2026-04-18;182.65;273.65;0.00;0.00;0.00;456.30;0.00;Excel;confirmed;
2026-04-20;254.65;545.85;0.00;0.00;0.00;800.50;0.00;Excel;confirmed;
2026-04-21;246.70;441.50;0.00;0.00;0.00;688.20;0.00;Excel;confirmed;
2026-04-22;172.30;445.35;0.00;0.00;0.00;617.65;0.00;Excel;confirmed;
2026-04-23;415.70;241.95;0.00;0.00;0.00;657.65;0.00;Excel;confirmed;
2026-04-24;371.00;745.55;0.00;0.00;0.00;1116.55;0.00;Excel;confirmed;
2026-04-25;141.80;217.61;0.00;0.00;0.00;359.41;0.00;Excel;confirmed;
2026-04-27;207.70;384.50;0.00;0.00;0.00;592.20;0.00;Excel;confirmed;
2026-04-28;271.30;396.05;0.00;0.00;0.00;667.35;0.00;Excel;confirmed;
2026-04-29;172.20;547.30;0.00;0.00;0.00;719.50;0.00;Excel;confirmed;
2026-04-30;277.05;489.95;0.00;0.00;0.00;767.00;0.00;Excel;confirmed;
2026-05-01;293.30;461.90;0.00;0.00;0.00;755.20;0.00;Excel;confirmed;
2026-05-02;149.20;562.06;0.00;0.00;0.00;711.26;0.00;Excel;confirmed;
2026-05-04;179.05;387.00;0.00;0.00;0.00;566.05;0.00;Excel;confirmed;
2026-05-05;242.50;412.45;0.00;0.00;0.00;654.95;0.00;Excel;confirmed;
2026-05-06;154.05;397.00;0.00;0.00;0.00;551.05;0.00;Excel;confirmed;
2026-05-07;361.85;418.25;0.00;0.00;0.00;780.10;0.00;Excel;confirmed;
2026-05-08;457.70;971.60;0.00;0.00;0.00;1429.30;0.00;Excel;confirmed;
