fecha;numero_factura;cliente_proveedor;tipo;base_imponible;tipo_iva;cuota_iva;total;origen;estado_clasificacion;observaciones
2026-04-01;FE-2474752;FRIOLISA S.A.U.;recibida;28.41;10%;2.84;31.25;Telegram;clasificada (cabecera);
2026-04-01;260004;RAQUEL SINTES SIMON;recibida;635.30;21%;133.41;648.00;Web;clasificada (cabecera);
2026-04-01;FA/531;Sistemas Segurmar Costa Brava, S.L.;recibida;25.00;21%;5.25;30.25;Web;clasificada (cabecera);
2026-04-01;FE-2474099;FRIOLISA S.A.U.;recibida;130.08;10%;13.01;143.09;Web;clasificada (líneas);Tipo de IVA inferido desde las líneas de factura (cabecera sin tipo)
2026-04-02;FV2601035;EXPLOTACIONS BOSCH TORRENT S.L.;recibida;65.11;sin clasificar;4.96;70.07;Web;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-02;2026025386;XINA CENTER;recibida;26.82;21%;5.63;32.46;Telegram;clasificada (líneas);Tipo de IVA inferido desde las líneas de factura (cabecera sin tipo)
2026-04-03;05/26;CAMPA-ESCUDERO CB;recibida;350.00;21%;73.50;357.00;Telegram;clasificada (cabecera);
2026-04-07;260024010011304;TRANSGOURMET;recibida;75.16;sin clasificar;6.14;81.30;Telegram;pendiente de clasificación;Sin tipo de IVA en cabecera y sin líneas de detalle — revisar factura
2026-04-07;255;FECOTUR;recibida;50.00;0%;0.00;50.00;Web;clasificada (cabecera);
2026-04-07;26A2246;MANEL MARQUEZ S.L.;recibida;55.35;sin clasificar;5.98;61.33;Web;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-07;260024010011304;TRANSGOURMET;recibida;-3.95;4%;-0.16;-4.11;Telegram;clasificada (cabecera);
2026-04-08;260024012000379;Transgourmet Iberica S.A.U.;recibida;-3.95;sin clasificar;-0.16;-4.11;Web;pendiente de clasificación;Sin tipo de IVA en cabecera y sin líneas de detalle — revisar factura
2026-04-09;26A2358;MANEL MARQUEZ S.L.;recibida;27.74;21%;5.83;33.57;Web;clasificada (líneas);Tipo de IVA inferido desde las líneas de factura (cabecera sin tipo)
2026-04-09;INV/2026/212426;AGEDI-AIE, OFICINA CONJUNTA DE RECAUDACIÓN DE ARTISTAS Y PRODUCTORES, UTE;recibida;22.23;21%;4.67;26.90;Web;clasificada (cabecera);
2026-04-09;011885;DuaLsoft.S.L.;recibida;45.37;21%;9.53;54.90;Telegram;clasificada (cabecera);
2026-04-10;INV/2026/00079;Brugarol La Granja S.L.;recibida;120.00;21%;25.20;145.20;Web;clasificada (cabecera);
2026-04-10;2604A001345;DISTRIBUCIONS DARNES S.L.;recibida;361.35;sin clasificar;37.36;398.71;Web;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-11;290-0004-336012;Leroy Merlin Playa;recibida;46.24;21%;9.71;55.95;Web;clasificada (cabecera);
2026-04-11;FE-2479735;FRIOLISA S.A.U.;recibida;195.12;sin clasificar;20.03;228.03;Web;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-11;FE-2479735;FRIOLISA S.A.U.;recibida;208.00;sin clasificar;20.03;228.03;Telegram;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-13;260024010012260;Transgourmet Ibérica, S.A.U.;recibida;148.63;sin clasificar;10.49;159.12;Telegram;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-14;P51/507;PROFESSPACK 2017 S.L.;recibida;83.25;21%;17.48;100.73;Web;clasificada (cabecera);
2026-04-15;S 105844;ambiseint;recibida;27.80;21%;5.84;33.64;Telegram;clasificada (cabecera);
2026-04-15;2026/2123;JABONES TER, SL;recibida;65.80;21%;13.82;79.62;Web;clasificada (cabecera);
2026-04-16;P51/547;PROFESSPACK 2017 S.L.;recibida;20.50;21%;4.31;24.81;Web;clasificada (cabecera);
2026-04-16;2604A001871;DISTRIBUCIONS DARNES S.L.;recibida;125.45;sin clasificar;11.84;137.29;Web;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-20;290-0004-338164;Leroy Merlin Espana S.L.U.;recibida;0.00;21%;0.00;0.00;Telegram;clasificada (líneas);Tipo de IVA inferido desde las líneas de factura (cabecera sin tipo)
2026-04-20;2604A002587;DISTRIBUCIONS DARNES S.L.;recibida;95.65;sin clasificar;11.42;107.07;Web;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-20;260024010013221;TRANSGOURMET;recibida;145.37;sin clasificar;11.65;157.02;Telegram;pendiente de clasificación;Sin tipo de IVA en cabecera y sin líneas de detalle — revisar factura
2026-04-21;26A2657;MANEL MARQUEZ S.L.;recibida;60.74;sin clasificar;8.95;69.69;Web;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-22;FE-2485420;FRIOLISA S.A.U.;recibida;149.40;sin clasificar;13.78;163.18;Web;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-22;FV2601130;EXPLOTACIONS BOSCH TORRENT S.L. GRANJA EL PROVENÇAL;recibida;145.20;sin clasificar;12.68;157.88;Web;pendiente de clasificación;Líneas con varios tipos de IVA distintos — no se reparte automáticamente, revisar factura
2026-04-22;FE-2485420;FRIDOLISA S.A.U.;recibida;149.40;sin clasificar;13.78;163.18;Telegram;pendiente de clasificación;Sin tipo de IVA en cabecera y sin líneas de detalle — revisar factura
